mode,null_seed,feature,threshold,bucket,friction,trades,weeks,total_net,mean_weekly_net,median_weekly_net,positive_week_rate,worst_trade,worst_week,total_slippage,total_transaction_costs,raw_gross
NULL,101,JOINT,0.4,0,stress,77,69,18279.200044000343,264.91594266667164,-176.3132213999999,0.463768115942029,-4762.958681675001,-4762.958681675001,6541.500000000027,8530.049955999644,33350.75000000001
NULL,101,JOINT,0.4,1,stress,110,93,-32399.185338105053,-348.37833696887157,-462.26985189500044,0.3655913978494624,-4224.511297729997,-4224.511297729997,9240.000000000064,13393.935338104991,-9765.250000000005
NULL,202,VOL_IMB,0.2,0,stress,373,207,-95170.33899005223,-459.76009173938274,-800.7624401400002,0.3961352657004831,-4865.53943872176,-7591.243142917501,31196.50000000011,40815.33899005209,-23158.500000000007
NULL,202,VOL_IMB,0.2,1,stress,271,165,-75718.98511215835,-458.90294007368686,-506.91085760500346,0.3151515151515151,-4732.1296698875,-6354.817573697501,22056.000000000135,32558.48511215823,-21104.499999999978
NULL,202,VOL_IMB,0.4,0,stress,86,75,-16051.386804074249,-214.01849072099006,-458.4912961850001,0.41333333333333333,-4533.4725875675,-5976.596040645,7404.5000000000255,9460.636804074218,813.7499999999961
NULL,202,VOL_IMB,0.4,1,stress,88,72,-24496.063096996313,-340.22309856939324,-385.9082690825003,0.3194444444444444,-2718.9143194000003,-2718.9143194000003,7208.000000000045,10551.313096996284,-6736.749999999984
NULL,202,OI_CHANGE_IMB,0.2,0,stress,473,226,-17334.724018548477,-76.7023186661437,-650.2332199500008,0.38495575221238937,-5812.342864475,-8437.210690425001,39808.50000000013,51985.72401854833,74459.5
NULL,202,OI_CHANGE_IMB,0.2,1,stress,399,207,-67928.29400773808,-328.15600969921786,-364.80485534500065,0.4106280193236715,-4732.1296698875,-4979.189352465003,32848.00000000017,48849.544007737924,13769.250000000018
NULL,202,OI_CHANGE_IMB,0.4,0,stress,248,168,-59707.09350407252,-355.39936609566985,-842.4930541137501,0.32142857142857145,-5328.111906650001,-6650.975807172503,20601.500000000065,26825.843504072443,-12279.750000000015
NULL,202,OI_CHANGE_IMB,0.4,1,stress,248,162,-24202.36250837155,-149.3972994343923,-221.4067441462489,0.43209876543209874,-4732.1296698875,-4947.7769065950015,20816.0000000001,30763.61250837147,27377.25000000002
NULL,202,JOINT,0.2,0,stress,332,199,-31355.275707697587,-157.56419953616873,-484.0295811875009,0.41708542713567837,-4533.4725875675,-6079.903158385001,27451.000000000095,36326.775707697474,32422.49999999999
NULL,202,JOINT,0.2,1,stress,287,184,-53667.46985283909,-291.671031808908,-410.6450729775004,0.358695652173913,-4732.1296698875,-4947.7769065950015,23664.00000000013,34980.46985283895,4977.000000000001
NULL,202,JOINT,0.4,0,stress,78,69,-26577.742601956666,-385.18467539067626,-824.2208992725003,0.30434782608695654,-4533.4725875675,-5389.298126775,6548.500000000024,8600.742601956645,-11428.5
NULL,202,JOINT,0.4,1,stress,103,86,-24034.429478617873,-279.47011021648683,-298.2053741574987,0.32558139534883723,-4732.1296698875,-6206.998700462501,8520.000000000064,12616.679478617816,-2897.749999999997
NULL,303,VOL_IMB,0.2,0,stress,367,208,-83701.13981614505,-402.4093260391588,-568.5298746412506,0.375,-5060.239699017501,-8306.587547452498,30663.750000000102,40341.38981614494,-12696.000000000025
NULL,303,VOL_IMB,0.2,1,stress,271,167,-59383.14476494427,-355.5876932032591,-328.2739623850015,0.38922155688622756,-4141.389017255003,-4719.30569901,21936.00000000013,32464.144764944132,-4983.000000000006
NULL,303,VOL_IMB,0.4,0,stress,83,72,9025.633015877514,125.35601410940993,-20.34754737749965,0.5,-4207.009765628,-4207.009765628,7118.750000000018,9434.616984122458,25578.999999999985
NULL,303,VOL_IMB,0.4,1,stress,84,73,-18351.963997750998,-251.39676709247937,-221.20441396500033,0.3972602739726027,-2120.8809599442184,-2662.614219975002,7216.00000000004,10152.71399775095,-983.2500000000067
NULL,303,OI_CHANGE_IMB,0.2,0,stress,468,230,-75420.17567731538,-327.9138072926756,-712.0807829312503,0.3695652173913043,-4762.958681675001,-9309.289368225089,39109.25000000016,51209.675677315216,14898.75
NULL,303,OI_CHANGE_IMB,0.2,1,stress,401,207,-95554.62241753477,-461.61653341804237,-509.1927411250009,0.37681159420289856,-3744.77198375,-5272.791419475003,32456.00000000018,48503.87241753459,-14594.750000000002
