week,net_pnl,gross_pnl,costs,trading_days,positive
2024-05-20/2024-05-26,3656.5115103249996,4265.0,608.488489675,4,True
2024-05-27/2024-06-02,-4062.353288355002,-3252.500000000002,809.853288355,5,False
2024-06-03/2024-06-09,9233.331525529995,10159.999999999996,926.66847447,5,True
2024-06-10/2024-06-16,-6226.0914812975,-5468.749999999999,757.3414812975,5,False
2024-06-17/2024-06-23,-3468.1149412150003,-2880.0000000000005,588.114941215,4,False
2024-06-24/2024-06-30,963.0785061925005,1716.2500000000007,753.1714938075,5,True
2024-07-01/2024-07-07,-2901.2623377399996,-2157.499999999999,743.76233774,5,False
2024-07-08/2024-07-14,-2207.2925836725,-1473.75,733.5425836725001,5,False
2024-07-15/2024-07-21,388.0483305800006,1002.5000000000005,614.4516694199999,4,True
2024-07-22/2024-07-28,-3858.3457405525005,-3076.25,782.0957405525,5,False
2024-07-29/2024-08-04,-3011.3849343250013,-2265.000000000001,746.384934325,5,False
2024-08-05/2024-08-11,-4623.9248348575,-3848.7499999999995,775.1748348575001,5,False
2024-08-12/2024-08-18,-1897.1766672899996,-1297.4999999999995,599.6766672900001,4,False
2024-08-19/2024-08-25,-3510.3015417200004,-2775.0000000000005,735.30154172,5,False
2024-08-26/2024-09-01,-2929.8697568125003,-2196.25,733.6197568125,5,False
2024-09-02/2024-09-08,-605.1953230725012,138.7499999999991,743.9453230725,5,False
2024-09-09/2024-09-15,5585.281311149998,6337.499999999998,752.21868885,5,True
2024-09-16/2024-09-22,2030.9899702550001,2782.5,751.510029745,5,True
2024-09-23/2024-09-29,-6229.1426831075005,-5486.25,742.8926831075,5,False
2024-09-30/2024-10-06,2800.0183200175015,3418.750000000001,618.7316799825,4,True
2024-10-07/2024-10-13,-6759.6289181875,-5988.75,770.8789181875001,5,False
2024-10-14/2024-10-20,884.7695528775002,1636.2500000000002,751.4804471225,5,True
2024-10-21/2024-10-27,1702.8640196274985,2466.249999999999,763.3859803725,5,True
2024-10-28/2024-11-03,-1166.0188980175003,-571.2500000000002,594.7688980175,4,False
2024-11-04/2024-11-10,-7091.603475239999,-6315.0,776.6034752400001,5,False
2024-11-11/2024-11-17,295.2598841350009,897.5000000000009,602.240115865,4,True
2024-11-18/2024-11-24,21112.713286102502,21843.750000000004,731.0367138975,4,True
2024-11-25/2024-12-01,9920.081762804995,10822.499999999996,902.418237195,5,True
2024-12-02/2024-12-08,-10971.908033310001,-10042.5,929.40803331,5,False
2024-12-09/2024-12-15,-2295.292229602501,-1421.25,874.0422296025,5,False
2024-12-16/2024-12-22,-14959.481895704992,-14047.499999999993,911.981895705,5,False
2024-12-23/2024-12-29,-21406.914773572495,-20756.249999999996,650.6647735725,4,False
2024-12-30/2025-01-05,28810.361531655,29737.499999999996,927.138468345,5,True
2025-01-06/2025-01-12,-3834.548305402506,-2928.7500000000064,905.7983054025,5,False
2025-01-13/2025-01-19,-18400.85509233,-17564.999999999996,835.8550923299999,5,False
2025-01-20/2025-01-26,-7244.315651564999,-6352.499999999998,891.8156515649999,5,False
2025-01-27/2025-02-02,-45613.99401891,-44430.0,1183.99401891,6,False
2025-02-03/2025-02-09,-16774.61849217,-15937.499999999998,837.11849217,5,False
2025-02-10/2025-02-16,-17650.988772982502,-16788.75,862.2387729825,5,False
2025-02-17/2025-02-23,-16653.5841508275,-15798.75,854.8341508275,5,False
2025-02-24/2025-03-02,-8979.462554407499,-8336.249999999998,643.2125544075,4,False
2025-03-03/2025-03-09,-7550.815022190003,-6735.000000000003,815.81502219,5,False
2025-03-10/2025-03-16,-4867.3994858099995,-4229.999999999999,637.39948581,4,False
2025-03-17/2025-03-23,5466.021398070001,6285.000000000002,818.97860193,5,True
