entry_day,entry_time,expiry_choice,strike_method,trigger,action,risk,trades,weeks_completed,eligible_weeks,mean_weekly_net,median_weekly_net,profitable_week_rate,profit_factor,max_drawdown,weekly_q05,weekly_es05,execution_coverage,avg_capital_proxy,peak_capital_proxy,gross_pnl,costs,net_pnl,cost_share,gate,regime
WED,10:00,nearest_weekly,sigma1,touch,add_short,no_stop,42,42,42,4158.124842967924,4155.00285662575,0.8333333333333334,2.993364119435403,-31908.082234962,-14247.66525586382,-22328.637580911163,1.0,13747.472321428577,28856.74999999999,179684.9,5043.656595347201,174641.24340465284,0.0280694515529529,False,stress
WED,09:20,nearest_weekly,delta020,touch,add_short,no_stop,42,42,42,4146.871833407013,5723.13848182975,0.7857142857142857,1.8584961732061216,-68709.48031368651,-31915.251469198,-33589.19158083783,1.0,15396.290476190476,39384.31250000002,179799.75,5631.132996905507,174168.61700309455,0.0313189144974089,False,stress
TUE,11:00,second_nearest_weekly,sigma1,touch,add_short,no_stop,41,41,41,4145.89825659993,7080.647598875,0.8536585365853658,1.761787267201545,-120293.6598603385,-41232.7862440484,-44947.67198541563,1.0,20754.039329268293,39754.00000000002,175355.35,5373.521479402903,169981.82852059708,0.0306436129801737,False,stress
TUE,10:00,second_nearest_weekly,sigma1,ninety_pct,add_short,stop_2x_credit,41,41,41,4104.680318084992,6788.224837315,0.7560975609756098,1.9390549283152403,-82191.66773331401,-24289.732532057493,-28793.875080985163,1.0,20918.055792682924,39541.93749999998,173670.55,5378.6569585152965,168291.89304148467,0.0309704607863296,False,stress
MON,09:20,second_nearest_weekly,sigma1,ninety_pct,add_short,no_stop,43,43,43,4094.4839457493968,7679.46236572,0.8372093023255814,1.9006554680984789,-114501.56318279548,-29858.2318070857,-42751.27375476866,1.0,18553.425,36880.18749999999,181869.35,5806.5403327758895,176062.80966722406,0.0319269867780133,False,stress
FRI,11:00,nearest_weekly,delta020,ninety_pct,add_short,no_stop,41,41,41,4081.1965769571584,4588.8870382175,0.7804878048780488,2.2297966746561064,-48951.99238135599,-17164.458226739505,-33072.504179116,1.0,12079.974390243902,42474.24999999999,172567.75,5238.6903447565055,167329.0596552435,0.0303572964517211,False,stress
TUE,11:00,second_nearest_weekly,delta020,touch,add_short,no_stop,41,41,41,4058.785627448697,10993.5178810075,0.7560975609756098,1.50766307404405,-184255.16956750647,-58450.36565169,-62826.56839561384,1.0,23286.941768292683,63362.00000000001,172502.1,6091.889274603414,166410.21072539664,0.0353148702224692,False,stress
FRI,10:00,nearest_weekly,sigma1,ninety_pct,add_short,no_stop,41,41,41,3994.176949615622,2857.273915346,0.902439024390244,3.2157354807208023,-39290.66759411851,-12803.434791341,-23750.759018411834,1.0,11256.13048780488,31750.54999999998,168585.75,4824.495065759507,163761.25493424054,0.0286174547122725,False,stress
MON,10:00,second_nearest_weekly,delta020,ninety_pct,add_short,stop_2x_credit,43,43,43,3991.7753544141183,10079.8121796175,0.6511627906976745,1.5669670027137703,-133298.26052252593,-28756.76249833625,-37376.74925967783,1.0,21112.61773255814,44910.9375,178137.35,6491.0097601929,171646.34023980703,0.0364382301644932,False,stress
FRI,09:20,nearest_weekly,sigma1,ninety_pct,add_short,no_stop,41,41,41,3979.9273739295,3713.8228623625,0.902439024390244,3.333942954204353,-39657.212314732,-7306.0020076085,-21694.2887164825,1.0,11188.542073170727,29638.70000000002,167961.75,4784.727668890504,163177.02233110947,0.0284870077198558,False,stress
WED,11:00,second_nearest_weekly,sigma1,touch,add_short,no_stop,42,42,42,3968.1821315571246,6775.85310558225,0.8333333333333334,1.6767239958647944,-163647.5334620395,-43083.64327152903,-56273.54295030897,1.0,20330.98511904762,39479.70000000002,172274.2,5610.550474600798,166663.6495253992,0.0325675607525723,False,stress
WED,10:00,nearest_weekly,delta020,touch,add_short,stop_2x_credit,42,42,42,3962.142401610583,4688.227006568,0.6904761904761905,2.0319294674074566,-54144.62629342048,-19292.127690400477,-23028.44590786466,1.0,15019.540476190476,38467.000000000015,171940.25,5530.269132355503,166409.9808676445,0.0321639007292097,False,stress
WED,11:00,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,42,42,42,3938.705212446469,9452.57568378625,0.7619047619047619,1.440442822859654,-214462.2464591395,-56223.83406643508,-74001.60201792266,1.0,23191.811309523808,61545.25000000002,171712.05,6286.431077248296,165425.61892275172,0.0366103082296687,False,stress
WED,09:20,nearest_weekly,delta020,ninety_pct,add_short,no_stop,42,42,42,3938.1912636989314,6105.90199539075,0.7619047619047619,1.7783882164411449,-70711.893819383,-32803.17368324399,-34505.6312047935,1.0,15578.142857142857,39384.31250000002,171076.85,5672.816924644896,165404.03307535508,0.0331594656123543,False,stress
FRI,10:00,nearest_weekly,sigma1,touch,add_short,no_stop,41,41,41,3893.078812862928,2857.273915346,0.902439024390244,3.165547847125731,-39290.66759411851,-12803.434791341,-23683.687361278837,1.0,11104.671951219516,31750.54999999998,164360.0,4743.768672619999,159616.23132738005,0.0288620629874665,False,stress
THU,09:20,second_nearest_weekly,delta020,ninety_pct,add_short,stop_2x_credit,39,39,39,3879.0477169417272,9768.99548182,0.717948717948718,1.5241249484167405,-123131.54402738398,-39229.38780683289,-57038.56946034549,1.0,21962.139102564102,51176.93749999998,156906.65000000002,5623.78903927269,151282.86096072732,0.0358416232790177,False,stress
