ts,norm_date,local_time,trading_day,strike,option_type,open_px,close_px,feature_day,bucket,expiry,atm
2021-07-02 09:37:00,2021-07-02,09:37:00,2021-07-02,15900.0,PE,254.0,247.0,2021-07-02,0,2021-07-08,15700
2021-07-02 09:37:00,2021-07-02,09:37:00,2021-07-02,15900.0,PE,254.0,247.0,2021-07-02,0,2021-07-08,15700
2021-07-02 09:38:00,2021-07-02,09:38:00,2021-07-02,15500.0,CE,204.0,200.8,2021-07-02,0,2021-07-08,15700
2021-07-02 09:38:00,2021-07-02,09:38:00,2021-07-02,15500.0,CE,204.0,200.8,2021-07-02,0,2021-07-08,15700
2021-07-02 09:38:00,2021-07-02,09:38:00,2021-07-02,15500.0,PE,32.0,33.1,2021-07-02,0,2021-07-08,15700
2021-07-02 09:38:00,2021-07-02,09:38:00,2021-07-02,15500.0,PE,32.0,33.1,2021-07-02,0,2021-07-08,15700
2021-07-02 09:38:00,2021-07-02,09:38:00,2021-07-02,15700.0,CE,77.0,75.4,2021-07-02,0,2021-07-08,15700
2021-07-02 09:38:00,2021-07-02,09:38:00,2021-07-02,15700.0,CE,77.0,75.4,2021-07-02,0,2021-07-08,15700
2021-07-02 09:38:00,2021-07-02,09:38:00,2021-07-02,15700.0,PE,104.7,107.0,2021-07-02,0,2021-07-08,15700
2021-07-02 09:38:00,2021-07-02,09:38:00,2021-07-02,15900.0,CE,18.4,17.9,2021-07-02,0,2021-07-08,15700
2021-07-02 09:38:00,2021-07-02,09:38:00,2021-07-02,15900.0,CE,18.4,17.9,2021-07-02,0,2021-07-08,15700
2021-07-02 09:38:00,2021-07-02,09:38:00,2021-07-02,15900.0,PE,246.1,249.7,2021-07-02,0,2021-07-08,15700
2021-07-02 09:38:00,2021-07-02,09:38:00,2021-07-02,15900.0,PE,246.1,249.7,2021-07-02,0,2021-07-08,15700
2021-07-02 09:39:00,2021-07-02,09:39:00,2021-07-02,15500.0,CE,200.05,201.5,2021-07-02,0,2021-07-08,15700
2021-07-02 09:39:00,2021-07-02,09:39:00,2021-07-02,15500.0,CE,200.05,201.5,2021-07-02,0,2021-07-08,15700
2021-07-02 09:39:00,2021-07-02,09:39:00,2021-07-02,15500.0,PE,33.1,33.2,2021-07-02,0,2021-07-08,15700
2021-07-02 09:39:00,2021-07-02,09:39:00,2021-07-02,15500.0,PE,33.1,33.2,2021-07-02,0,2021-07-08,15700
2021-07-02 09:39:00,2021-07-02,09:39:00,2021-07-02,15700.0,CE,74.95,75.45,2021-07-02,0,2021-07-08,15700
2021-07-02 09:39:00,2021-07-02,09:39:00,2021-07-02,15700.0,CE,74.95,75.45,2021-07-02,0,2021-07-08,15700
2021-07-02 09:39:00,2021-07-02,09:39:00,2021-07-02,15700.0,PE,107.7,107.5,2021-07-02,0,2021-07-08,15700
2021-07-02 09:39:00,2021-07-02,09:39:00,2021-07-02,15900.0,CE,17.95,17.9,2021-07-02,0,2021-07-08,15700
