expiry,entry_date,entry_clock,sigma,adjustment,trigger_fraction,spot,vix,expected_move,ce_strike,pe_strike,lot,adjustments,costs,net_pnl,entry_offset,cell_id
2026-01-27,2026-01-21,10:00:00,1.0,REDUCE_AT_50PCT,0.5,25151.55,12.73,418.1582085927712,25600.0,24700.0,65,2,56.725042221500004,-5019.475042221501,-3,AD30_03_100000_S1_REDUCE_AT_50PCT
2026-01-27,2026-01-21,10:00:00,1.0,REDUCE_AT_75PCT,0.75,25151.55,12.73,418.1582085927712,25600.0,24700.0,65,0,52.808364280999996,3795.191635719,-3,AD30_03_100000_S1_REDUCE_AT_75PCT
2026-01-27,2026-01-21,10:00:00,2.0,NONE,,25151.55,12.73,836.3164171855424,26000.0,24300.0,65,0,49.1751035005,1234.5748964995,-3,AD30_03_100000_S2_NONE
2026-01-27,2026-01-21,10:00:00,2.0,REDUCE_AT_50PCT,0.5,25151.55,12.73,836.3164171855424,26000.0,24300.0,65,0,49.1751035005,1234.5748964995,-3,AD30_03_100000_S2_REDUCE_AT_50PCT
2026-01-27,2026-01-21,10:00:00,2.0,REDUCE_AT_75PCT,0.75,25151.55,12.73,836.3164171855424,26000.0,24300.0,65,0,49.1751035005,1234.5748964995,-3,AD30_03_100000_S2_REDUCE_AT_75PCT
2026-02-03,2026-02-01,09:30:00,1.0,NONE,,25306.3,13.63,270.6038506518418,25600.0,25000.0,65,0,67.6964287775,3439.0535712225,-2,AD30_02_093000_S1_NONE
2026-02-03,2026-02-01,09:30:00,1.0,REDUCE_AT_50PCT,0.5,25306.3,13.63,270.6038506518418,25600.0,25000.0,65,2,86.1948221195,-38192.44482211949,-2,AD30_02_093000_S1_REDUCE_AT_50PCT
2026-02-03,2026-02-01,09:30:00,1.0,REDUCE_AT_75PCT,0.75,25306.3,13.63,270.6038506518418,25600.0,25000.0,65,2,86.823282062,-39606.823282061996,-2,AD30_02_093000_S1_REDUCE_AT_75PCT
2026-02-03,2026-02-01,09:30:00,2.0,NONE,,25306.3,13.63,541.2077013036836,25850.0,24750.0,65,0,55.5161359905,5706.7338640095,-2,AD30_02_093000_S2_NONE
2026-02-03,2026-02-01,09:30:00,2.0,REDUCE_AT_50PCT,0.5,25306.3,13.63,541.2077013036836,25850.0,24750.0,65,2,68.9752919085,-24583.725291908497,-2,AD30_02_093000_S2_REDUCE_AT_50PCT
2026-02-03,2026-02-01,09:30:00,2.0,REDUCE_AT_75PCT,0.75,25306.3,13.63,541.2077013036836,25850.0,24750.0,65,2,71.80841822400001,-30959.808418223998,-2,AD30_02_093000_S2_REDUCE_AT_75PCT
2026-02-03,2026-02-01,10:00:00,1.0,NONE,,25332.25,13.63,269.622393585535,25650.0,25050.0,65,0,65.4675368005,6158.2824631995,-2,AD30_02_100000_S1_NONE
2026-02-03,2026-02-01,10:00:00,1.0,REDUCE_AT_50PCT,0.5,25332.25,13.63,269.622393585535,25650.0,25050.0,65,2,86.1474807475,-40382.8974807475,-2,AD30_02_100000_S1_REDUCE_AT_50PCT
2026-02-03,2026-02-01,10:00:00,1.0,REDUCE_AT_75PCT,0.75,25332.25,13.63,269.622393585535,25650.0,25050.0,65,2,87.86527125699999,-44248.865271257,-2,AD30_02_100000_S1_REDUCE_AT_75PCT
2026-02-03,2026-02-01,10:00:00,2.0,NONE,,25332.25,13.63,539.24478717107,25900.0,24750.0,65,0,54.5461193,5021.9538807,-2,AD30_02_100000_S2_NONE
2026-02-03,2026-02-01,10:00:00,2.0,REDUCE_AT_50PCT,0.5,25332.25,13.63,539.24478717107,25900.0,24750.0,65,2,67.5241782965,-24185.7741782965,-2,AD30_02_100000_S2_REDUCE_AT_50PCT
2026-02-03,2026-02-01,10:00:00,2.0,REDUCE_AT_75PCT,0.75,25332.25,13.63,539.24478717107,25900.0,24750.0,65,2,70.54656496250001,-30987.7965649625,-2,AD30_02_100000_S2_REDUCE_AT_75PCT
2026-02-03,2026-01-30,09:30:00,1.0,NONE,,25226.25,13.37,363.793265409116,25600.0,24850.0,65,0,63.989612229,826.510387771,-3,AD30_03_093000_S1_NONE
2026-02-03,2026-01-30,09:30:00,1.0,REDUCE_AT_50PCT,0.5,25226.25,13.37,363.793265409116,25600.0,24850.0,65,2,67.2619381365,-6538.011938136501,-3,AD30_03_093000_S1_REDUCE_AT_50PCT
2026-02-03,2026-01-30,09:30:00,1.0,REDUCE_AT_75PCT,0.75,25226.25,13.37,363.793265409116,25600.0,24850.0,65,2,83.398188936,-42853.39818893599,-3,AD30_03_093000_S1_REDUCE_AT_75PCT
2026-02-03,2026-01-30,09:30:00,2.0,NONE,,25226.25,13.37,727.586530818232,26000.0,24450.0,65,0,51.23610974,2685.26389026,-3,AD30_03_093000_S2_NONE
2026-02-03,2026-01-30,09:30:00,2.0,REDUCE_AT_50PCT,0.5,25226.25,13.37,727.586530818232,26000.0,24450.0,65,2,61.77545521249999,-21034.0254552125,-3,AD30_03_093000_S2_REDUCE_AT_50PCT
2026-02-03,2026-01-30,09:30:00,2.0,REDUCE_AT_75PCT,0.75,25226.25,13.37,727.586530818232,26000.0,24450.0,65,1,59.0882471825,-14986.3382471825,-3,AD30_03_093000_S2_REDUCE_AT_75PCT
2026-02-03,2026-01-30,10:00:00,1.0,NONE,,25288.25,13.37,363.79170859584843,25700.0,24900.0,65,0,59.91090197,6485.58909803,-3,AD30_03_100000_S1_NONE
2026-02-03,2026-01-30,10:00:00,1.0,REDUCE_AT_50PCT,0.5,25288.25,13.37,363.79170859584843,25700.0,24900.0,65,2,77.3936462555,-32860.14364625549,-3,AD30_03_100000_S1_REDUCE_AT_50PCT
2026-02-03,2026-01-30,10:00:00,1.0,REDUCE_AT_75PCT,0.75,25288.25,13.37,363.79170859584843,25700.0,24900.0,65,2,78.487311029,-35321.48731102899,-3,AD30_03_100000_S1_REDUCE_AT_75PCT
2026-02-03,2026-01-30,10:00:00,2.0,NONE,,25288.25,13.37,727.5834171916969,26050.0,24550.0,65,0,51.404762718,2808.595237282,-3,AD30_03_100000_S2_NONE
2026-02-03,2026-01-30,10:00:00,2.0,REDUCE_AT_50PCT,0.5,25288.25,13.37,727.5834171916969,26050.0,24550.0,65,2,60.938572282500004,-18647.6885722825,-3,AD30_03_100000_S2_REDUCE_AT_50PCT
2026-02-03,2026-01-30,10:00:00,2.0,REDUCE_AT_75PCT,0.75,25288.25,13.37,727.5834171916969,26050.0,24550.0,65,2,63.212585959500004,-23765.4625859595,-3,AD30_03_100000_S2_REDUCE_AT_75PCT
2026-02-10,2026-02-06,09:30:00,1.0,NONE,,25565.9,12.17,335.6002042724293,25950.0,25200.0,65,0,51.0415811135,2552.2084188865,-2,AD30_02_093000_S1_NONE
2026-02-10,2026-02-06,09:30:00,1.0,REDUCE_AT_50PCT,0.5,25565.9,12.17,335.6002042724293,25950.0,25200.0,65,1,52.713140087,-1209.713140087,-2,AD30_02_093000_S1_REDUCE_AT_50PCT
2026-02-10,2026-02-06,09:30:00,1.0,REDUCE_AT_75PCT,0.75,25565.9,12.17,335.6002042724293,25950.0,25200.0,65,1,52.713140087,-1209.713140087,-2,AD30_02_093000_S1_REDUCE_AT_75PCT
2026-02-10,2026-02-06,09:30:00,2.0,NONE,,25565.9,12.17,671.2004085448586,26250.0,24850.0,65,0,48.597296563,822.402703437,-2,AD30_02_093000_S2_NONE
2026-02-10,2026-02-06,09:30:00,2.0,REDUCE_AT_50PCT,0.5,25565.9,12.17,671.2004085448586,26250.0,24850.0,65,1,48.961369909,3.0386300910000017,-2,AD30_02_093000_S2_REDUCE_AT_50PCT
2026-02-10,2026-02-06,09:30:00,2.0,REDUCE_AT_75PCT,0.75,25565.9,12.17,671.2004085448586,26250.0,24850.0,65,0,48.597296563,822.402703437,-2,AD30_02_093000_S2_REDUCE_AT_75PCT
2026-02-10,2026-02-06,10:00:00,1.0,NONE,,25550.45,12.17,334.57365801054414,25900.0,25200.0,65,0,52.2759305285,548.9740694715005,-2,AD30_02_100000_S1_NONE
2026-02-10,2026-02-06,10:00:00,1.0,REDUCE_AT_50PCT,0.5,25550.45,12.17,334.57365801054414,25900.0,25200.0,65,1,53.333476914500004,-1831.0834769144994,-2,AD30_02_100000_S1_REDUCE_AT_50PCT
2026-02-10,2026-02-06,10:00:00,1.0,REDUCE_AT_75PCT,0.75,25550.45,12.17,334.57365801054414,25900.0,25200.0,65,1,53.333476914500004,-1831.0834769144994,-2,AD30_02_100000_S1_REDUCE_AT_75PCT
2026-02-10,2026-02-06,10:00:00,2.0,NONE,,25550.45,12.17,669.1473160210883,26250.0,24850.0,65,0,48.551324208,789.9486757919999,-2,AD30_02_100000_S2_NONE
2026-02-10,2026-02-06,10:00:00,2.0,REDUCE_AT_50PCT,0.5,25550.45,12.17,669.1473160210883,26250.0,24850.0,65,1,48.915397553999995,-29.41539755400011,-2,AD30_02_100000_S2_REDUCE_AT_50PCT
2026-02-10,2026-02-06,10:00:00,2.0,REDUCE_AT_75PCT,0.75,25550.45,12.17,669.1473160210883,26250.0,24850.0,65,0,48.551324208,789.9486757919999,-2,AD30_02_100000_S2_REDUCE_AT_75PCT
2026-02-10,2026-02-05,09:30:00,1.0,NONE,,25700.3,12.25,377.4538310090213,26100.0,25300.0,65,0,53.16550391449999,4051.5844960855,-3,AD30_03_093000_S1_NONE
2026-02-10,2026-02-05,09:30:00,1.0,REDUCE_AT_50PCT,0.5,25700.3,12.25,377.4538310090213,26100.0,25300.0,65,2,55.081223187499994,-259.83122318749975,-3,AD30_03_093000_S1_REDUCE_AT_50PCT
2026-02-10,2026-02-05,09:30:00,1.0,REDUCE_AT_75PCT,0.75,25700.3,12.25,377.4538310090213,26100.0,25300.0,65,0,53.16550391449999,4051.5844960855,-3,AD30_03_093000_S1_REDUCE_AT_75PCT
2026-02-10,2026-02-05,09:30:00,2.0,NONE,,25700.3,12.25,754.9076620180426,26500.0,24900.0,65,0,49.12453391,1198.87546609,-3,AD30_03_093000_S2_NONE
2026-02-10,2026-02-05,09:30:00,2.0,REDUCE_AT_50PCT,0.5,25700.3,12.25,754.9076620180426,26500.0,24900.0,65,0,49.12453391,1198.87546609,-3,AD30_03_093000_S2_REDUCE_AT_50PCT
2026-02-10,2026-02-05,09:30:00,2.0,REDUCE_AT_75PCT,0.75,25700.3,12.25,754.9076620180426,26500.0,24900.0,65,0,49.12453391,1198.87546609,-3,AD30_03_093000_S2_REDUCE_AT_75PCT
2026-02-10,2026-02-05,10:00:00,1.0,NONE,,25634.15,12.25,375.73407604409635,26050.0,25250.0,65,0,53.453421986500004,4246.2965780135,-3,AD30_03_100000_S1_NONE
2026-02-10,2026-02-05,10:00:00,1.0,REDUCE_AT_50PCT,0.5,25634.15,12.25,375.73407604409635,26050.0,25250.0,65,1,54.3520474675,2223.8979525325,-3,AD30_03_100000_S1_REDUCE_AT_50PCT
2026-02-10,2026-02-05,10:00:00,1.0,REDUCE_AT_75PCT,0.75,25634.15,12.25,375.73407604409635,26050.0,25250.0,65,1,53.96919256,3085.53080744,-3,AD30_03_100000_S1_REDUCE_AT_75PCT
2026-02-10,2026-02-05,10:00:00,2.0,NONE,,25634.15,12.25,751.4681520881927,26400.0,24850.0,65,0,49.271645446,1302.728354554,-3,AD30_03_100000_S2_NONE
