entry_day,entry_time,expiry_choice,strike_method,trigger,action,risk,trades,weeks_completed,eligible_weeks,mean_weekly_net,median_weekly_net,profitable_week_rate,profit_factor,max_drawdown,weekly_q05,weekly_es05,execution_coverage,avg_capital_proxy,peak_capital_proxy,gross_pnl,costs,net_pnl,cost_share,gate,regime
FRI,09:20,second_nearest_weekly,sigma1,ninety_pct,add_short,stop_2x_credit,41,41,41,1930.4040919901413,4728.6980857300005,0.6585365853658537,1.45466027378623,-67220.88940863,-15982.17267024849,-19654.627391452163,1.0,18398.45152439025,36222.54999999999,84407.70000000001,5261.132228404198,79146.56777159582,0.0623300034049523,False,base
THU,11:00,second_nearest_weekly,delta020,touch,protective_next_strike,no_stop,39,39,39,1891.954975774964,5724.825856353,0.6410256410256411,1.5918433312818658,-64270.1450888575,-13856.822073918956,-17060.471909546748,1.0,20722.832692307693,51601.06250000001,79772.59999999999,5986.355944776398,73786.2440552236,0.0750427583503157,False,base
THU,09:20,nearest_weekly,delta020,touch,add_short,no_stop,39,39,39,1885.6850499984223,6062.176749661,0.7948717948717948,1.3137621935550647,-83678.00592061102,-48331.51774425941,-52711.24626829651,1.0,13373.380448717948,27081.43749999999,78581.24999999999,5039.5330500615055,73541.71694993845,0.0641314951093486,False,base
WED,09:20,nearest_weekly,sigma2,ninety_pct,add_short,no_stop,42,42,42,1880.830408794881,878.77780666775,1.0,inf,0.0,409.9270221912,358.72057441016665,1.0,15910.2875,30876.299999999985,83230.0,4235.122830615,78994.877169385,0.0508845708352156,False,base
WED,09:20,nearest_weekly,sigma1,touch,add_short,stop_2x_credit,42,42,42,1873.6766763206217,3238.3057919725,0.6904761904761905,1.6257079461726474,-31315.56392038449,-13260.699109780822,-14164.681453984827,1.0,13718.036904761906,28159.625000000025,83821.85000000002,5127.429594533896,78694.42040546611,0.0611705610712946,False,base
WED,10:00,nearest_weekly,sigma2,ninety_pct,add_short,no_stop,42,42,42,1860.263096445812,851.3214450937501,1.0,inf,0.0,471.4133654094,344.9303753054999,1.0,15886.611904761903,30637.100000000013,82341.35,4210.299949275901,78131.05005072412,0.0511322676793117,False,base
THU,10:00,second_nearest_weekly,delta020,ninety_pct,protective_next_strike,no_stop,39,39,39,1802.2433746482332,4187.102673615,0.6153846153846154,1.603395762285861,-75785.7821826419,-14532.985384051,-16380.164081051,1.0,21621.914743589743,51607.56249999998,76481.85,6194.358388718904,70287.4916112811,0.0809912206454067,False,base
FRI,10:00,second_nearest_weekly,sigma1,touch,protective_next_strike,stop_2x_credit,41,41,41,1801.270515625515,3522.906135535,0.6341463414634146,1.728741095921797,-42405.1216999075,-11416.4713130885,-14135.040566635833,1.0,17747.299085365856,32641.04999999998,79243.85,5391.7588593539,73852.0911406461,0.0680400921882758,False,base
MON,10:00,nearest_weekly,delta020,touch,protective_next_strike,no_stop,43,43,43,1787.6002157505698,1302.5346852789996,0.627906976744186,2.796296399710286,-16326.717278475986,-3634.0057008483504,-5975.644177331499,1.0,12108.89796511628,31271.500000000004,83197.25000000003,6330.4407227255,76866.8092772745,0.0760895428962555,False,base
MON,10:00,nearest_weekly,delta020,touch,protective_next_strike,stop_2x_credit,43,43,43,1787.6002157505698,1302.5346852789996,0.627906976744186,2.796296399710286,-16326.717278475986,-3634.0057008483504,-5975.644177331499,1.0,12108.89796511628,31271.500000000004,83197.25000000003,6330.4407227255,76866.8092772745,0.0760895428962555,False,base
