day,expiry,bucket,feature,threshold,side,friction,raw_gross,execution_gross,slippage_cost,transaction_costs,net_pnl,null_seed
2022-05-27,2022-06-02,0,JOINT,0.4,CALL,stress,107.50000000000023,27.499999999999204,80.00000000000102,120.28924022500001,-92.78924022500081,303
2022-06-02,2022-06-02,0,JOINT,0.4,CALL,stress,2957.5,2877.499999999999,80.00000000000091,104.963116575,2772.536883424999,303
2022-06-10,2022-06-16,0,JOINT,0.4,CALL,stress,-375.0,-455.0000000000011,80.00000000000108,114.82427514,-569.8242751400011,303
2022-07-12,2022-07-14,0,JOINT,0.4,PUT,stress,622.4999999999991,542.4999999999986,80.00000000000034,111.569012125,430.93098787499866,303
2022-08-11,2022-08-11,0,JOINT,0.4,CALL,stress,-2220.0,-2300.0,80.0,97.62077611,-2397.62077611,303
2022-08-22,2022-08-25,0,JOINT,0.4,CALL,stress,-2105.0,-2185.0000000000005,80.00000000000045,102.89588452,-2287.8958845200004,303
2022-09-14,2022-09-15,0,JOINT,0.4,CALL,stress,2237.500000000001,2157.5,80.00000000000068,110.279426305,2047.220573695,303
2022-09-23,2022-09-29,0,JOINT,0.4,PUT,stress,1709.9999999999995,1630.0,79.99999999999955,126.92948842999999,1503.07051157,303
2022-10-04,2022-10-06,0,JOINT,0.4,PUT,stress,-1130.0000000000002,-1210.0000000000005,80.00000000000011,103.51748496,-1313.5174849600005,303
2022-10-10,2022-10-13,0,JOINT,0.4,PUT,stress,-1285.0000000000002,-1365.0000000000005,80.00000000000023,106.77468935000002,-1471.7746893500005,303
2022-10-12,2022-10-13,0,JOINT,0.4,PUT,stress,-1642.5000000000005,-1722.5000000000005,79.99999999999977,102.80183162499999,-1825.3018316250004,303
2022-10-27,2022-10-27,0,JOINT,0.4,PUT,stress,-254.99999999999994,-334.9999999999998,79.99999999999983,96.89134457,-431.8913445699998,303
2022-11-04,2022-11-10,0,JOINT,0.4,CALL,stress,547.4999999999995,467.499999999999,80.00000000000051,111.444331395,356.05566860499897,303
2022-11-16,2022-11-17,0,JOINT,0.4,CALL,stress,1205.0,1124.9999999999995,80.0000000000005,103.83661771,1021.1633822899995,303
2022-11-23,2022-11-24,0,JOINT,0.4,PUT,stress,829.9999999999998,749.9999999999999,79.99999999999991,99.73210923,650.2678907699999,303
2022-11-28,2022-12-01,0,JOINT,0.4,CALL,stress,809.9999999999999,729.9999999999995,80.00000000000034,108.0928629,621.9071370999995,303
2022-12-08,2022-12-08,0,JOINT,0.4,CALL,stress,-1022.5,-1102.4999999999998,79.99999999999976,95.866109435,-1198.3661094349998,303
2022-12-22,2022-12-22,0,JOINT,0.4,CALL,stress,-2817.4999999999995,-2897.5000000000005,80.00000000000097,96.487436505,-2993.9874365050005,303
2023-01-04,2023-01-05,0,JOINT,0.4,PUT,stress,4307.500000000001,4227.5,80.00000000000091,111.64589456499999,4115.854105435,303
2023-01-09,2023-01-12,0,JOINT,0.4,CALL,stress,1752.5000000000005,1672.4999999999995,80.00000000000068,110.560092675,1561.9399073249995,303
2023-01-18,2023-01-19,0,JOINT,0.4,PUT,stress,-1632.5000000000005,-1712.5,79.9999999999996,97.86620841499999,-1810.366208415,303
2023-01-19,2023-01-19,0,JOINT,0.4,PUT,stress,-2377.5,-2455.0,77.50000000000003,96.01651767999999,-2551.01651768,303
2023-01-23,2023-01-25,0,JOINT,0.4,PUT,stress,-725.0000000000002,-805.0000000000005,80.00000000000028,99.99577396000001,-904.9957739600004,303
2023-01-25,2023-01-25,0,JOINT,0.4,PUT,stress,6455.0,6375.0,80.0,106.787215,6268.212785,303
2023-01-31,2023-02-02,0,JOINT,0.4,PUT,stress,-829.9999999999989,-909.9999999999995,80.00000000000068,110.91335016,-1020.9133501599995,303
2023-02-08,2023-02-09,0,JOINT,0.4,CALL,stress,967.5000000000001,887.4999999999995,80.0000000000006,104.667231055,782.8327689449995,303
2023-05-12,2023-05-18,0,JOINT,0.4,PUT,stress,-1280.0,-1360.0000000000005,80.00000000000023,101.85523182,-1461.8552318200004,303
2023-05-17,2023-05-18,0,JOINT,0.4,CALL,stress,-2272.5,-2352.5000000000005,80.00000000000051,98.07634745499999,-2450.5763474550004,303
2023-05-24,2023-05-25,0,JOINT,0.4,CALL,stress,-1430.0000000000002,-1510.0000000000005,80.00000000000024,98.79403000999999,-1608.7940300100004,303
2023-06-13,2023-06-15,0,JOINT,0.4,CALL,stress,542.5000000000002,462.5,80.0000000000002,101.07760229499999,361.422397705,303
2023-06-22,2023-06-22,0,JOINT,0.4,PUT,stress,2622.5,2542.4999999999995,80.00000000000044,100.673510615,2441.8264893849996,303
2023-07-17,2023-07-20,0,JOINT,0.4,PUT,stress,-1822.5,-1902.4999999999998,79.99999999999989,101.757111605,-2004.2571116049999,303
2023-09-20,2023-09-21,0,JOINT,0.4,CALL,stress,-2174.9999999999995,-2255.0,80.0000000000004,97.1174144,-2352.1174144,303
2023-09-22,2023-09-28,0,JOINT,0.4,CALL,stress,-1314.9999999999995,-1394.9999999999998,80.00000000000034,104.48278105,-1499.4827810499999,303
2023-10-09,2023-10-12,0,JOINT,0.4,CALL,stress,-72.5000000000005,-152.5000000000009,80.00000000000043,106.27287323499999,-258.77287323500093,303
2023-11-06,2023-11-09,0,JOINT,0.4,PUT,stress,-957.4999999999998,-1037.5,80.00000000000017,100.150252485,-1137.650252485,303
2023-12-11,2023-12-14,0,JOINT,0.4,PUT,stress,-724.9999999999995,-804.9999999999997,80.00000000000011,102.63100285,-907.6310028499996,303
2023-12-21,2023-12-21,0,JOINT,0.4,PUT,stress,-2660.0000000000005,-2725.0000000000005,65.0,96.75468197000001,-2821.7546819700005,303
2023-12-22,2023-12-28,0,JOINT,0.4,CALL,stress,1525.0,1444.999999999999,80.00000000000091,121.53212429,1323.4678757099991,303
2024-03-11,2024-03-14,0,JOINT,0.4,PUT,stress,2124.9999999999995,2044.9999999999986,80.00000000000091,118.8160818,1926.1839181999985,303
2024-03-15,2024-03-21,0,JOINT,0.4,PUT,stress,635.0000000000001,554.9999999999991,80.00000000000102,114.71457570999999,440.2854242899991,303
2024-04-02,2024-04-04,0,JOINT,0.4,PUT,stress,-127.49999999999989,-207.50000000000034,80.00000000000045,105.74424987500001,-313.2442498750004,303
2024-04-22,2024-04-25,0,JOINT,0.4,PUT,stress,-1512.5000000000005,-1592.5000000000011,80.00000000000068,109.157826805,-1701.6578268050012,303
2024-04-23,2024-04-25,0,JOINT,0.4,PUT,stress,292.5000000000008,212.50000000000034,80.00000000000045,108.12770710500001,104.37229289500033,303
2024-08-27,2024-08-29,0,JOINT,0.4,PUT,stress,-219.99999999999966,-259.9999999999999,40.00000000000023,99.18416335500001,-359.1841633549999,303
2024-09-09,2024-09-12,0,JOINT,0.4,PUT,stress,-937.5000000000003,-977.5000000000002,39.999999999999886,99.48220198499999,-1076.9822019850003,303
2024-09-27,2024-10-03,0,JOINT,0.4,PUT,stress,-94.99999999999974,-134.9999999999996,39.99999999999986,102.70962634,-237.7096263399996,303
2024-10-04,2024-10-10,0,JOINT,0.4,CALL,stress,-1113.7500000000005,-1153.7500000000002,39.99999999999977,109.0720077575,-1262.8220077575002,303
2024-10-21,2024-10-24,0,JOINT,0.4,PUT,stress,870.0,829.9999999999994,40.00000000000057,106.15680781,723.8431921899994,303
2024-10-23,2024-10-24,0,JOINT,0.4,PUT,stress,370.0000000000003,330.00000000000006,40.00000000000023,101.803443695,228.19655630500006,303
2024-11-07,2024-11-07,0,JOINT,0.4,CALL,stress,-1071.25,-1103.75,32.5,95.5668903875,-1199.3168903875,303
2024-11-14,2024-11-14,0,JOINT,0.4,PUT,stress,351.2499999999997,311.24999999999943,40.000000000000284,98.87445126749999,212.37554873249945,303
2024-11-25,2024-11-28,0,JOINT,0.4,CALL,stress,-1440.0000000000005,-1560.0000000000018,120.00000000000136,124.14373437500001,-1684.1437343750017,303
2024-12-02,2024-12-05,0,JOINT,0.4,PUT,stress,-2606.249999999999,-2726.25,120.00000000000091,114.3373732475,-2840.5873732475,303
2024-12-16,2024-12-19,0,JOINT,0.4,CALL,stress,-378.7499999999998,-498.75000000000153,120.00000000000176,125.30330483750001,-624.0533048375015,303
2025-01-22,2025-01-23,0,JOINT,0.4,PUT,stress,-2388.75,-2508.750000000001,120.00000000000091,105.21955963250001,-2613.969559632501,303
2025-04-01,2025-04-03,0,JOINT,0.4,PUT,stress,6427.499999999999,6307.500000000002,119.99999999999727,139.824973385,6167.675026615002,303
2025-04-17,2025-04-17,0,JOINT,0.4,PUT,stress,-3232.5000000000005,-3333.75,101.2499999999996,96.7743178625,-3430.5243178625,303
2025-04-29,2025-04-30,0,JOINT,0.4,PUT,stress,2062.5,1942.4999999999993,120.00000000000068,112.85453306,1829.6454669399993,303
2025-05-09,2025-05-15,0,JOINT,0.4,PUT,stress,1425.0000000000023,1305.0000000000045,119.99999999999773,163.81379332999998,1141.1862066700046,303
2025-05-21,2025-05-22,0,JOINT,0.4,CALL,stress,1140.0000000000007,1019.9999999999995,120.00000000000114,125.381091365,894.6189086349996,303
2025-07-15,2025-07-17,0,JOINT,0.4,CALL,stress,1259.9999999999998,1139.999999999999,120.00000000000068,113.31584417,1026.684155829999,303
2025-08-07,2025-08-07,0,JOINT,0.4,CALL,stress,-277.5,-397.4999999999998,119.99999999999977,99.67287242,-497.17287241999975,303
2025-08-18,2025-08-21,0,JOINT,0.4,PUT,stress,1226.2500000000007,1106.25,120.0000000000007,121.4038499825,984.8461500175,303
2025-12-04,2025-12-09,0,JOINT,0.4,CALL,stress,1031.2499999999995,911.2499999999987,120.00000000000068,121.28836046750001,789.9616395324988,303
2026-01-20,2026-01-20,0,JOINT,0.4,PUT,stress,9379.5,9275.499999999998,104.00000000000136,120.52887368000002,9154.971126319999,303
2026-02-25,2026-03-02,0,JOINT,0.4,PUT,stress,1914.2499999999986,1810.2499999999968,104.00000000000182,125.58751877149999,1684.6624812284967,303
2026-03-17,2026-03-17,0,JOINT,0.4,PUT,stress,-3874.0,-3958.5,84.5,98.59692270997999,-4057.09692270998,303
2026-05-04,2026-05-05,0,JOINT,0.4,PUT,stress,2577.2500000000005,2473.249999999999,104.00000000000114,126.59603655352501,2346.653963446474,303
2026-05-05,2026-05-05,0,JOINT,0.4,PUT,stress,-3188.25,-3276.0,87.75000000000006,96.85419271123001,-3372.85419271123,303
2026-05-13,2026-05-19,0,JOINT,0.4,CALL,stress,493.99999999999966,389.99999999999994,103.99999999999972,157.85480867934,232.14519132065993,303
2021-07-15,2021-07-22,1,JOINT,0.4,PUT,stress,-750.0000000000002,-830.0000000000006,80.00000000000034,105.55620528999998,-935.5562052900005,303
2021-07-28,2021-08-05,1,JOINT,0.4,PUT,stress,-687.5000000000001,-767.5000000000005,80.00000000000034,109.83681200500001,-877.3368120050004,303
2021-08-23,2021-09-02,1,JOINT,0.4,PUT,stress,312.4999999999993,232.49999999999818,80.00000000000114,114.318808205,118.18119179499818,303
2021-08-30,2021-09-09,1,JOINT,0.4,PUT,stress,-922.4999999999998,-1002.5000000000001,80.00000000000034,108.65387290499999,-1111.153872905,303
2021-09-07,2021-09-16,1,JOINT,0.4,CALL,stress,39.999999999999886,-40.00000000000091,80.0000000000008,113.80321293,-153.8032129300009,303
2021-09-16,2021-09-23,1,JOINT,0.4,PUT,stress,-849.9999999999997,-930.0000000000002,80.00000000000051,106.2652755,-1036.2652755000001,303
2021-09-30,2021-10-07,1,JOINT,0.4,PUT,stress,184.99999999999943,104.9999999999983,80.00000000000114,116.56918653,-11.569186530001701,303
2021-10-18,2021-10-28,1,JOINT,0.4,CALL,stress,-122.5000000000008,-202.50000000000205,80.00000000000125,120.64710489499998,-323.14710489500203,303
2021-11-16,2021-11-25,1,JOINT,0.4,PUT,stress,765.0000000000005,684.9999999999994,80.00000000000102,119.85752902,565.1424709799994,303
2021-11-23,2021-12-02,1,JOINT,0.4,PUT,stress,-1185.0000000000005,-1265.0000000000014,80.00000000000091,112.86980802,-1377.8698080200013,303
2021-12-06,2021-12-16,1,JOINT,0.4,PUT,stress,1564.999999999999,1485.0,79.99999999999909,135.70832711,1349.29167289,303
2021-12-14,2021-12-23,1,JOINT,0.4,CALL,stress,-292.4999999999998,-372.5000000000008,80.00000000000102,119.216830595,-491.71683059500083,303
2021-12-15,2021-12-23,1,JOINT,0.4,PUT,stress,142.49999999999972,62.49999999999858,80.00000000000114,120.62690445499999,-58.12690445500141,303
2021-12-21,2021-12-30,1,JOINT,0.4,PUT,stress,22.50000000000091,-57.50000000000023,80.00000000000114,118.80258985500001,-176.30258985500024,303
2022-01-06,2022-01-13,1,JOINT,0.4,CALL,stress,337.5000000000007,257.49999999999955,80.00000000000108,120.331075175,137.16892482499955,303
2022-01-13,2022-01-20,1,JOINT,0.4,PUT,stress,-147.49999999999943,-227.50000000000023,80.0000000000008,113.431091395,-340.93109139500024,303
