day,expiry,bucket,feature,threshold,side,friction,raw_gross,execution_gross,slippage_cost,transaction_costs,net_pnl
2023-01-06,2023-01-12,0,OI_CHANGE_IMB,0.2,PUT,stress,1582.4999999999995,1502.4999999999989,80.00000000000068,113.721716335,1388.778283664999
2023-01-09,2023-01-12,0,OI_CHANGE_IMB,0.2,PUT,stress,-1347.5000000000002,-1427.5000000000005,80.00000000000023,100.960351535,-1528.4603515350004
2023-01-10,2023-01-12,0,OI_CHANGE_IMB,0.2,CALL,stress,-1562.4999999999998,-1642.5,80.00000000000028,99.903304185,-1742.403304185
2023-01-11,2023-01-12,0,OI_CHANGE_IMB,0.2,CALL,stress,804.9999999999998,724.9999999999993,80.00000000000045,105.16705347000001,619.8329465299993
2023-01-17,2023-01-19,0,OI_CHANGE_IMB,0.2,PUT,stress,-1667.5,-1747.5,80.0,100.321793855,-1847.821793855
2023-01-18,2023-01-19,0,OI_CHANGE_IMB,0.2,CALL,stress,2357.4999999999995,2277.499999999999,80.0000000000004,106.470764865,2171.029235134999
2023-01-19,2023-01-19,0,OI_CHANGE_IMB,0.2,CALL,stress,-815.0000000000001,-895.0,79.99999999999989,96.48031447,-991.4803144699999
2023-01-23,2023-01-25,0,OI_CHANGE_IMB,0.2,PUT,stress,-725.0000000000002,-805.0000000000005,80.00000000000028,99.99577396000001,-904.9957739600004
2023-01-25,2023-01-25,0,OI_CHANGE_IMB,0.2,CALL,stress,-1732.5,-1802.5,70.0,95.368588655,-1897.868588655
2023-01-27,2023-02-02,0,OI_CHANGE_IMB,0.2,PUT,stress,1299.9999999999998,1219.9999999999989,80.00000000000091,127.55327602,1092.4467239799988
2023-02-01,2023-02-02,0,OI_CHANGE_IMB,0.2,PUT,stress,1835.000000000001,1755.0000000000005,80.00000000000057,112.65205148000001,1642.3479485200005
2023-02-02,2023-02-02,0,OI_CHANGE_IMB,0.2,CALL,stress,-1867.5,-1947.5,80.0,98.314601485,-2045.814601485
2023-02-07,2023-02-09,0,OI_CHANGE_IMB,0.2,PUT,stress,967.5000000000001,887.4999999999997,80.00000000000054,107.297812275,780.2021877249997
2023-02-08,2023-02-09,0,OI_CHANGE_IMB,0.2,PUT,stress,-1140.0000000000002,-1220.0000000000005,80.00000000000028,99.40409468,-1319.4040946800005
2023-02-09,2023-02-09,0,OI_CHANGE_IMB,0.2,CALL,stress,2442.4999999999995,2362.4999999999995,79.99999999999999,102.32908686500001,2260.1709131349994
2023-02-13,2023-02-16,0,OI_CHANGE_IMB,0.2,CALL,stress,-832.4999999999998,-912.5,80.00000000000017,101.698131885,-1014.198131885
2023-02-14,2023-02-16,0,OI_CHANGE_IMB,0.2,PUT,stress,-1344.9999999999998,-1425.0,80.00000000000023,99.30466967999999,-1524.30466968
2023-02-16,2023-02-16,0,OI_CHANGE_IMB,0.2,PUT,stress,1455.0,1375.0000000000002,79.99999999999976,99.11964323999999,1275.8803567600003
2023-02-20,2023-02-23,0,OI_CHANGE_IMB,0.2,PUT,stress,1242.5,1162.4999999999995,80.00000000000045,106.380813855,1056.1191861449995
2023-02-22,2023-02-23,0,OI_CHANGE_IMB,0.2,CALL,stress,-2242.5000000000005,-2322.5,79.9999999999996,97.142772775,-2419.642772775
2023-02-23,2023-02-23,0,OI_CHANGE_IMB,0.2,CALL,stress,-1807.5,-1887.5,80.0,96.921514465,-1984.421514465
2023-02-27,2023-03-02,0,OI_CHANGE_IMB,0.2,PUT,stress,447.5000000000001,367.4999999999997,80.00000000000043,106.088192255,261.4118077449997
2023-03-01,2023-03-02,0,OI_CHANGE_IMB,0.2,PUT,stress,-1637.4999999999998,-1717.5,80.00000000000023,97.185223595,-1814.685223595
2023-03-02,2023-03-02,0,OI_CHANGE_IMB,0.2,CALL,stress,-2555.0,-2622.5,67.49999999999999,95.849298285,-2718.349298285
2023-03-03,2023-03-09,0,OI_CHANGE_IMB,0.2,PUT,stress,-1472.5,-1552.5,79.99999999999989,101.550400335,-1654.050400335
2023-03-06,2023-03-09,0,OI_CHANGE_IMB,0.2,PUT,stress,852.5000000000002,772.5,80.00000000000026,102.775626405,669.724373595
2023-03-08,2023-03-09,0,OI_CHANGE_IMB,0.2,CALL,stress,3195.0,3115.0,80.00000000000006,103.78392798,3011.21607202
2023-03-09,2023-03-09,0,OI_CHANGE_IMB,0.2,CALL,stress,-1052.5,-1117.5,65.0,94.947891115,-1212.447891115
2023-03-10,2023-03-16,0,OI_CHANGE_IMB,0.2,PUT,stress,-687.5000000000002,-767.5000000000005,80.00000000000023,104.62677393499999,-872.1267739350004
2023-03-14,2023-03-16,0,OI_CHANGE_IMB,0.2,PUT,stress,2647.5,2567.499999999999,80.00000000000068,113.29476432499999,2454.205235674999
2023-03-15,2023-03-16,0,OI_CHANGE_IMB,0.2,PUT,stress,4264.999999999999,4184.999999999999,79.99999999999977,111.08847618,4073.9115238199993
2023-03-16,2023-03-16,0,OI_CHANGE_IMB,0.2,CALL,stress,1235.0,1155.0,80.00000000000023,101.58775242,1053.41224758
2023-03-21,2023-03-23,0,OI_CHANGE_IMB,0.2,PUT,stress,-777.5000000000002,-857.5000000000003,80.00000000000011,102.477729425,-959.9777294250003
2023-03-22,2023-03-23,0,OI_CHANGE_IMB,0.2,PUT,stress,194.99999999999994,114.9999999999995,80.00000000000043,102.30104195999999,12.69895803999951
2023-03-27,2023-03-29,0,OI_CHANGE_IMB,0.2,PUT,stress,-214.9999999999999,-295.00000000000034,80.00000000000045,104.14716675999999,-399.14716676000035
2023-03-29,2023-03-29,0,OI_CHANGE_IMB,0.2,PUT,stress,-1845.0000000000002,-1925.0,79.99999999999979,95.52529281,-2020.5252928099999
2023-04-03,2023-04-06,0,OI_CHANGE_IMB,0.2,CALL,stress,729.9999999999995,649.9999999999991,80.00000000000051,105.09349710999999,544.906502889999
2023-04-05,2023-04-06,0,OI_CHANGE_IMB,0.2,PUT,stress,-1805.0,-1885.0,79.99999999999994,97.67797334,-1982.6779733399999
2023-04-06,2023-04-06,0,OI_CHANGE_IMB,0.2,CALL,stress,1102.5,1022.5000000000002,79.99999999999977,98.50018058500001,923.9998194150003
2023-04-10,2023-04-13,0,OI_CHANGE_IMB,0.2,PUT,stress,-477.50000000000034,-557.5000000000005,80.00000000000017,101.289348135,-658.7893481350004
2023-04-11,2023-04-13,0,OI_CHANGE_IMB,0.2,PUT,stress,-627.4999999999999,-707.4999999999998,79.99999999999991,99.166975665,-806.6669756649998
2023-04-12,2023-04-13,0,OI_CHANGE_IMB,0.2,PUT,stress,-697.5,-777.4999999999998,79.99999999999979,97.589999225,-875.0899992249998
2023-04-13,2023-04-13,0,OI_CHANGE_IMB,0.2,PUT,stress,-1215.0,-1287.5,72.5,95.107119955,-1382.607119955
2023-04-17,2023-04-20,0,OI_CHANGE_IMB,0.2,CALL,stress,1004.9999999999999,924.9999999999995,80.00000000000043,106.80243223999999,818.1975677599995
2023-04-21,2023-04-27,0,OI_CHANGE_IMB,0.2,PUT,stress,-32.499999999999744,-112.5000000000002,80.00000000000045,102.93200782499999,-215.4320078250002
2023-04-24,2023-04-27,0,OI_CHANGE_IMB,0.2,PUT,stress,-1462.5,-1542.4999999999998,79.99999999999977,98.650456585,-1641.1504565849998
2023-04-25,2023-04-27,0,OI_CHANGE_IMB,0.2,CALL,stress,820.0000000000005,740.0000000000002,80.00000000000026,100.8938244,639.1061756000003
2023-04-26,2023-04-27,0,OI_CHANGE_IMB,0.2,CALL,stress,2427.5,2347.5,79.99999999999999,102.047599335,2245.452400665
2023-04-27,2023-04-27,0,OI_CHANGE_IMB,0.2,PUT,stress,-1055.0,-1122.5,67.49999999999999,95.015181165,-1217.515181165
