day,status,bucket,threshold,side,wing
2023-08-18,MISSING_ATM_IV,1.0,,,
2023-08-25,MISSING_ATM_IV,1.0,,,
2023-09-01,MISSING_ATM_IV,1.0,,,
2023-09-08,MISSING_ATM_IV,1.0,,,
2023-09-15,MISSING_ATM_IV,1.0,,,
2023-09-22,MISSING_ATM_IV,1.0,,,
2023-09-29,MISSING_ATM_IV,1.0,,,
2023-10-06,MISSING_ATM_IV,1.0,,,
2023-10-13,MISSING_ATM_IV,1.0,,,
2023-10-20,MISSING_ATM_IV,1.0,,,
2023-10-27,MISSING_ATM_IV,1.0,,,
2023-11-03,MISSING_ATM_IV,1.0,,,
2023-11-10,MISSING_ATM_IV,1.0,,,
2023-11-12,MISSING_RV_OR_BAR,,,,
2023-11-17,MISSING_ATM_IV,1.0,,,
2023-11-24,MISSING_ATM_IV,1.0,,,
2023-12-01,MISSING_ATM_IV,1.0,,,
2023-12-08,MISSING_ATM_IV,1.0,,,
2023-12-15,MISSING_ATM_IV,1.0,,,
2023-12-29,MISSING_ATM_IV,1.0,,,
2024-01-05,MISSING_ATM_IV,1.0,,,
2024-01-12,MISSING_ATM_IV,1.0,,,
2024-01-19,MISSING_ATM_IV,1.0,,,
2024-01-20,MISSING_ATM_IV,1.0,,,
2024-02-02,MISSING_ATM_IV,1.0,,,
2024-02-09,MISSING_ATM_IV,1.0,,,
2024-02-16,MISSING_ATM_IV,1.0,,,
2024-02-23,MISSING_ATM_IV,1.0,,,
2024-03-01,MISSING_ATM_IV,1.0,,,
2024-03-02,MISSING_RV_OR_BAR,,,,
2024-03-15,MISSING_ATM_IV,1.0,,,
2024-03-22,MISSING_ATM_IV,1.0,,,
2024-04-05,MISSING_ATM_IV,1.0,,,
2024-04-12,MISSING_ATM_IV,1.0,,,
2024-04-19,MISSING_ATM_IV,1.0,,,
2024-04-26,MISSING_ATM_IV,1.0,,,
2024-05-03,MISSING_ATM_IV,1.0,,,
2024-05-10,MISSING_ATM_IV,1.0,,,
2024-05-17,MISSING_ATM_IV,1.0,,,
2024-05-18,MISSING_RV_OR_BAR,,,,
2024-05-24,MISSING_ATM_IV,1.0,,,
2024-05-31,MISSING_ATM_IV,1.0,,,
2024-06-07,MISSING_ATM_IV,1.0,,,
2024-06-14,MISSING_ATM_IV,1.0,,,
2024-06-21,MISSING_ATM_IV,1.0,,,
2024-06-28,MISSING_ATM_IV,1.0,,,
2024-07-05,MISSING_ATM_IV,1.0,,,
2024-07-12,MISSING_ATM_IV,1.0,,,
2024-07-19,MISSING_ATM_IV,1.0,,,
2024-07-22,MISSING_LEG,1.0,2.0,SHORT_CONDOR,200.0
2024-07-22,MISSING_LEG,1.0,4.0,SHORT_CONDOR,200.0
2024-07-26,MISSING_ATM_IV,1.0,,,
2024-08-02,MISSING_ATM_IV,1.0,,,
2024-08-09,MISSING_ATM_IV,1.0,,,
2024-08-16,MISSING_ATM_IV,1.0,,,
2024-08-23,MISSING_ATM_IV,1.0,,,
2024-08-30,MISSING_ATM_IV,1.0,,,
2024-09-06,MISSING_ATM_IV,1.0,,,
2024-09-13,MISSING_ATM_IV,1.0,,,
