week,net_pnl,gross_pnl,costs,trading_days,positive
2025-12-15/2025-12-21,-8206.6150299525,-7428.75,777.8650299525001,5,False
2025-12-22/2025-12-28,-6509.878906087501,-5913.75,596.1289060875,4,False
2025-12-29/2026-01-04,3635.6869311494993,4393.749999999999,758.0630688505,5,True
2026-01-05/2026-01-11,1208.5262183730006,1976.000000000001,767.4737816270001,5,True
2026-01-12/2026-01-18,959.0775913779987,1598.9999999999984,639.922408622,4,True
2026-01-19/2026-01-25,2091.7280789789984,2924.999999999998,833.271921021,5,True
2026-01-26/2026-02-01,-4361.5472352665,-3357.2499999999986,1004.2972352665,5,False
2026-02-02/2026-02-08,-26536.6532885615,-25678.250000000004,858.4032885615,5,False
2026-02-09/2026-02-15,-1625.1851093404994,-828.7499999999995,796.4351093405,5,False
2026-02-16/2026-02-22,23847.136186009,24706.5,859.3638139909999,5,True
2026-02-23/2026-03-01,-6570.106892167496,-5749.249999999995,820.8568921675001,5,False
2026-03-02/2026-03-08,2971.6441432725965,3854.4999999999964,882.8558567274,4,True
2026-03-09/2026-03-15,3879.345482262469,4995.250000000004,1115.904517737535,5,True
2026-03-16/2026-03-22,5567.2349096288835,6610.500000000004,1043.26509037112,5,True
2026-03-23/2026-03-29,-20236.027049219356,-19386.25,849.7770492193549,4,False
2026-03-30/2026-04-05,18248.644873069792,19041.74999999999,793.1051269301951,3,True
2026-04-06/2026-04-12,1141.0229728023355,2210.0000000000045,1068.97702719767,5,True
2026-04-13/2026-04-19,-752.282262135182,71.49999999999795,823.78226213518,4,False
2026-04-20/2026-04-26,-10514.199832883149,-9512.749999999995,1001.4498328831551,5,False
2026-04-27/2026-05-03,1409.729766670086,2154.7500000000014,745.020233329915,4,True
2026-05-04/2026-05-10,-3635.30120384338,-2691.0000000000005,944.3012038433801,5,False
2026-05-11/2026-05-17,-754.1602965358575,240.50000000000205,994.6602965358601,5,False
2026-05-18/2026-05-24,-126.41864917803878,848.2499999999959,974.6686491780349,5,False
2026-05-25/2026-05-31,-2703.7533253095007,-2509.000000000001,194.75332530949998,1,False
2026-06-15/2026-06-21,-281.2007107613273,-19.49999999999727,261.70071076133,1,False
2026-06-22/2026-06-28,3096.636495351379,3812.2499999999936,715.613504648615,3,True
2026-06-29/2026-07-05,-9003.509059002976,-8219.250000000002,784.259059002975,4,False
