expiry,entry_date,entry_offset,trigger,adjustment,cell_id,lot,net_pnl,adjustments,brokerage_cost
2021-08-26,2021-08-24,-2,WING_60,RECENTER_BOTH,ID30_02_WING_60_RECENTER_BOTH,50,3732.358672595,0,200.14132740500003
2021-08-26,2021-08-24,-2,WING_60,ONE_STRIKE_INSIDE,ID30_02_WING_60_ONE_STRIKE_INSIDE,50,5294.91648323,0,105.08351677
2021-08-26,2021-08-24,-2,RISK_60,RECENTER_BOTH,ID30_02_RISK_60_RECENTER_BOTH,50,5294.91648323,0,105.08351677
2021-08-26,2021-08-24,-2,RISK_60,ONE_STRIKE_INSIDE,ID30_02_RISK_60_ONE_STRIKE_INSIDE,50,5294.91648323,0,105.08351677
2021-09-02,2021-08-27,-4,WING_60,RECENTER_BOTH,ID30_04_WING_60_RECENTER_BOTH,50,-3259.3421730599953,2,644.3421730599999
2021-09-02,2021-08-27,-4,RISK_60,RECENTER_BOTH,ID30_04_RISK_60_RECENTER_BOTH,50,6510.03963149,0,109.96036851
2021-09-02,2021-08-27,-4,RISK_60,ONE_STRIKE_INSIDE,ID30_04_RISK_60_ONE_STRIKE_INSIDE,50,6510.03963149,0,109.96036851
2021-09-02,2021-08-30,-3,WING_60,RECENTER_BOTH,ID30_03_WING_60_RECENTER_BOTH,50,-6280.915067524999,2,618.4150675249999
2021-09-02,2021-08-30,-3,RISK_60,RECENTER_BOTH,ID30_03_RISK_60_RECENTER_BOTH,50,5900.706630215,0,106.79336978500001
2021-09-02,2021-08-30,-3,RISK_60,ONE_STRIKE_INSIDE,ID30_03_RISK_60_ONE_STRIKE_INSIDE,50,5900.706630215,0,106.79336978500001
2021-09-02,2021-08-31,-2,WING_60,RECENTER_BOTH,ID30_02_WING_60_RECENTER_BOTH,50,1059.90712041,2,615.0928795899999
2021-09-02,2021-08-31,-2,RISK_60,RECENTER_BOTH,ID30_02_RISK_60_RECENTER_BOTH,50,5471.672750425,0,105.82724957500001
2021-09-02,2021-08-31,-2,RISK_60,ONE_STRIKE_INSIDE,ID30_02_RISK_60_ONE_STRIKE_INSIDE,50,5471.672750425,0,105.82724957500001
2021-09-09,2021-09-03,-4,WING_60,RECENTER_BOTH,ID30_04_WING_60_RECENTER_BOTH,50,4147.6250152600005,2,642.3749847399998
2021-09-09,2021-09-03,-4,RISK_60,RECENTER_BOTH,ID30_04_RISK_60_RECENTER_BOTH,50,6942.3142670199995,0,112.68573298000001
2021-09-09,2021-09-03,-4,RISK_60,ONE_STRIKE_INSIDE,ID30_04_RISK_60_ONE_STRIKE_INSIDE,50,6942.3142670199995,0,112.68573298000001
2021-09-09,2021-09-06,-3,WING_60,RECENTER_BOTH,ID30_03_WING_60_RECENTER_BOTH,50,4800.80936196,1,414.19063804
2021-09-09,2021-09-06,-3,RISK_60,RECENTER_BOTH,ID30_03_RISK_60_RECENTER_BOTH,50,6460.51935315,0,109.48064685
2021-09-09,2021-09-06,-3,RISK_60,ONE_STRIKE_INSIDE,ID30_03_RISK_60_ONE_STRIKE_INSIDE,50,6460.51935315,0,109.48064685
2021-09-09,2021-09-07,-2,WING_60,RECENTER_BOTH,ID30_02_WING_60_RECENTER_BOTH,50,1562.7837795,1,407.2162205
2021-09-09,2021-09-07,-2,RISK_60,RECENTER_BOTH,ID30_02_RISK_60_RECENTER_BOTH,50,6192.32346435,0,107.67653565
2021-09-09,2021-09-07,-2,RISK_60,ONE_STRIKE_INSIDE,ID30_02_RISK_60_ONE_STRIKE_INSIDE,50,6192.32346435,0,107.67653565
2021-09-16,2021-09-09,-4,WING_60,RECENTER_BOTH,ID30_04_WING_60_RECENTER_BOTH,50,-4949.011193285,2,641.5111932850001
2021-09-16,2021-09-09,-4,RISK_60,RECENTER_BOTH,ID30_04_RISK_60_RECENTER_BOTH,50,6930.045741515,0,112.454258485
2021-09-16,2021-09-09,-4,RISK_60,ONE_STRIKE_INSIDE,ID30_04_RISK_60_ONE_STRIKE_INSIDE,50,6930.045741515,0,112.454258485
2021-09-16,2021-09-13,-3,WING_60,RECENTER_BOTH,ID30_03_WING_60_RECENTER_BOTH,50,-644.6643309150003,2,602.164330915
2021-09-16,2021-09-13,-3,RISK_60,RECENTER_BOTH,ID30_03_RISK_60_RECENTER_BOTH,50,6495.81377204,0,109.18622795999998
2021-09-16,2021-09-13,-3,RISK_60,ONE_STRIKE_INSIDE,ID30_03_RISK_60_ONE_STRIKE_INSIDE,50,6495.81377204,0,109.18622795999998
2021-09-16,2021-09-14,-2,WING_60,RECENTER_BOTH,ID30_02_WING_60_RECENTER_BOTH,50,-4973.11071135,2,608.1107113500001
2021-09-16,2021-09-14,-2,RISK_60,RECENTER_BOTH,ID30_02_RISK_60_RECENTER_BOTH,50,5731.923111695,0,105.576888305
2021-09-16,2021-09-14,-2,RISK_60,ONE_STRIKE_INSIDE,ID30_02_RISK_60_ONE_STRIKE_INSIDE,50,5731.923111695,0,105.576888305
2021-09-23,2021-09-17,-4,WING_60,RECENTER_BOTH,ID30_04_WING_60_RECENTER_BOTH,50,-11844.79424279,2,659.7942427900001
2021-09-23,2021-09-17,-4,RISK_60,RECENTER_BOTH,ID30_04_RISK_60_RECENTER_BOTH,50,7019.583801215,0,112.91619878499999
2021-09-23,2021-09-17,-4,RISK_60,ONE_STRIKE_INSIDE,ID30_04_RISK_60_ONE_STRIKE_INSIDE,50,7019.583801215,0,112.91619878499999
2021-09-23,2021-09-20,-3,WING_60,RECENTER_BOTH,ID30_03_WING_60_RECENTER_BOTH,50,-5690.379896775,2,647.879896775
2021-09-23,2021-09-20,-3,RISK_60,RECENTER_BOTH,ID30_03_RISK_60_RECENTER_BOTH,50,6195.46197135,0,109.53802865
2021-09-23,2021-09-20,-3,RISK_60,ONE_STRIKE_INSIDE,ID30_03_RISK_60_ONE_STRIKE_INSIDE,50,6195.46197135,0,109.53802865
2021-09-23,2021-09-21,-2,WING_60,RECENTER_BOTH,ID30_02_WING_60_RECENTER_BOTH,50,-5435.4192488399985,2,650.4192488400001
2021-09-23,2021-09-21,-2,RISK_60,RECENTER_BOTH,ID30_02_RISK_60_RECENTER_BOTH,50,6524.0702888,0,110.9297112
2021-09-23,2021-09-21,-2,RISK_60,ONE_STRIKE_INSIDE,ID30_02_RISK_60_ONE_STRIKE_INSIDE,50,6524.0702888,0,110.9297112
2021-09-30,2021-09-24,-4,WING_60,RECENTER_BOTH,ID30_04_WING_60_RECENTER_BOTH,50,-745.5831917849964,2,653.083191785
2021-09-30,2021-09-24,-4,RISK_60,RECENTER_BOTH,ID30_04_RISK_60_RECENTER_BOTH,50,7413.55631049,0,116.44368951000001
2021-09-30,2021-09-24,-4,RISK_60,ONE_STRIKE_INSIDE,ID30_04_RISK_60_ONE_STRIKE_INSIDE,50,7413.55631049,0,116.44368951000001
2021-09-30,2021-09-27,-3,WING_60,RECENTER_BOTH,ID30_03_WING_60_RECENTER_BOTH,50,-1091.673397185,2,644.1733971850001
2021-09-30,2021-09-27,-3,RISK_60,RECENTER_BOTH,ID30_03_RISK_60_RECENTER_BOTH,50,6910.636400265,0,111.863599735
2021-09-30,2021-09-27,-3,RISK_60,ONE_STRIKE_INSIDE,ID30_03_RISK_60_ONE_STRIKE_INSIDE,50,6910.636400265,0,111.863599735
2021-09-30,2021-09-28,-2,WING_60,RECENTER_BOTH,ID30_02_WING_60_RECENTER_BOTH,50,3142.0135955150017,2,635.486404485
2021-09-30,2021-09-28,-2,RISK_60,RECENTER_BOTH,ID30_02_RISK_60_RECENTER_BOTH,50,6585.16592494,0,109.83407505999999
2021-09-30,2021-09-28,-2,RISK_60,ONE_STRIKE_INSIDE,ID30_02_RISK_60_ONE_STRIKE_INSIDE,50,6585.16592494,0,109.83407505999999
2021-10-07,2021-10-01,-4,WING_60,RECENTER_BOTH,ID30_04_WING_60_RECENTER_BOTH,50,4479.896361545001,2,642.6036384550001
2021-10-07,2021-10-01,-4,RISK_60,RECENTER_BOTH,ID30_04_RISK_60_RECENTER_BOTH,50,7602.419099615,0,120.080900385
2021-10-07,2021-10-01,-4,RISK_60,ONE_STRIKE_INSIDE,ID30_04_RISK_60_ONE_STRIKE_INSIDE,50,7602.419099615,0,120.080900385
2021-10-07,2021-10-04,-3,WING_60,RECENTER_BOTH,ID30_03_WING_60_RECENTER_BOTH,50,-71.35077859499995,2,623.850778595
2021-10-07,2021-10-04,-3,RISK_60,RECENTER_BOTH,ID30_03_RISK_60_RECENTER_BOTH,50,6895.527483515,0,111.972516485
2021-10-07,2021-10-04,-3,RISK_60,ONE_STRIKE_INSIDE,ID30_03_RISK_60_ONE_STRIKE_INSIDE,50,6895.527483515,0,111.972516485
2021-10-07,2021-10-05,-2,WING_60,RECENTER_BOTH,ID30_02_WING_60_RECENTER_BOTH,50,-1847.7825346549982,2,620.2825346550001
2021-10-07,2021-10-05,-2,RISK_60,RECENTER_BOTH,ID30_02_RISK_60_RECENTER_BOTH,50,6420.92915743,0,109.07084257
2021-10-07,2021-10-05,-2,RISK_60,ONE_STRIKE_INSIDE,ID30_02_RISK_60_ONE_STRIKE_INSIDE,50,6420.92915743,0,109.07084257
2021-10-14,2021-10-08,-4,WING_60,RECENTER_BOTH,ID30_04_WING_60_RECENTER_BOTH,50,-4416.8408233400005,2,661.84082334
2021-10-14,2021-10-08,-4,RISK_60,RECENTER_BOTH,ID30_04_RISK_60_RECENTER_BOTH,50,7267.952058465,0,114.547941535
2021-10-14,2021-10-08,-4,RISK_60,ONE_STRIKE_INSIDE,ID30_04_RISK_60_ONE_STRIKE_INSIDE,50,7267.952058465,0,114.547941535
2021-10-14,2021-10-11,-3,WING_60,RECENTER_BOTH,ID30_03_WING_60_RECENTER_BOTH,50,-1929.952707654998,2,617.4527076550002
2021-10-14,2021-10-11,-3,RISK_60,RECENTER_BOTH,ID30_03_RISK_60_RECENTER_BOTH,50,6667.126287915,0,110.37371208500001
2021-10-14,2021-10-11,-3,RISK_60,ONE_STRIKE_INSIDE,ID30_03_RISK_60_ONE_STRIKE_INSIDE,50,6667.126287915,0,110.37371208500001
2021-10-14,2021-10-12,-2,WING_60,RECENTER_BOTH,ID30_02_WING_60_RECENTER_BOTH,50,-5097.117886394999,2,634.6178863949999
2021-10-14,2021-10-12,-2,RISK_60,RECENTER_BOTH,ID30_02_RISK_60_RECENTER_BOTH,50,6388.275279975,0,109.224720025
2021-10-14,2021-10-12,-2,RISK_60,ONE_STRIKE_INSIDE,ID30_02_RISK_60_ONE_STRIKE_INSIDE,50,6388.275279975,0,109.224720025
2021-10-21,2021-10-14,-4,WING_60,RECENTER_BOTH,ID30_04_WING_60_RECENTER_BOTH,50,-3110.33383197,2,650.33383197
