variant_id,trades,total_net,mean_trade,win_rate,mean_active_day_net,median_active_day_net,profit_factor,max_drawdown,active_days,mean_weekly_net,median_weekly_net,positive_week_rate,completed_weeks,execution_coverage,target_qualified
14:00:00|p20|DIAGONAL_PREMIUM|adj09:30:00|stop1.5,32,-32202.748992319383,-1006.3359060099807,0.25,-1006.3359060099807,-1331.225299727702,0.5381908459769429,-40647.2487735112,32,-1006.3359060099807,-1331.225299727702,0.25,32,1.0,False
14:00:00|p20|DIAGONAL_PREMIUM|adj11:00:00|stop1,32,-32373.196410757922,-1011.6623878361851,0.4375,-1011.6623878361851,-1313.179273068251,0.5522825295524237,-35673.268168625,32,-1011.6623878361851,-1313.179273068251,0.4375,32,1.0,False
09:30:00|p30|DIAGONAL_PREMIUM|adj10:00:00|stop1,31,-31804.86024331073,-1025.963233655185,0.41935483870967744,-1025.963233655185,-816.4129627526302,0.6458258355027284,-43379.03202915651,31,-1025.963233655185,-816.4129627526302,0.41935483870967744,31,0.96875,False
13:00:00|p30|DIAGONAL_PREMIUM|adj10:00:00|stop1.5,31,-32075.964708218853,-1034.7085389748017,0.41935483870967744,-1034.7085389748017,-1485.2213132400007,0.6152756330797339,-29076.838148609997,31,-1034.7085389748017,-1485.2213132400007,0.41935483870967744,31,0.96875,False
11:00:00|p30|DIAGONAL_PREMIUM|adj11:00:00|stop1,31,-32450.51802504665,-1046.790904033763,0.45161290322580644,-1046.790904033763,-488.1104431950055,0.6218864028886488,-24742.1599172625,31,-1046.790904033763,-488.1104431950055,0.45161290322580644,31,0.96875,False
09:30:00|p30|DIAGONAL_PREMIUM|adj09:30:00|stop1,31,-32605.231974289323,-1051.7816765899781,0.3870967741935484,-1051.7816765899781,-1214.3234627550014,0.6315931549556827,-37366.697412099005,31,-1051.7816765899781,-1214.3234627550014,0.3870967741935484,31,0.96875,False
14:00:00|p25|DIAGONAL_PREMIUM|adj09:30:00|stop1.5,32,-34594.60369552673,-1081.0813654852102,0.375,-1081.0813654852102,-1846.6763710874984,0.5201895220596637,-37083.56128082849,32,-1081.0813654852102,-1846.6763710874984,0.375,32,1.0,False
13:00:00|p20|DIAGONAL_PREMIUM|adj11:00:00|stop1,31,-33514.427768156995,-1081.1105731663547,0.41935483870967744,-1081.1105731663547,-976.7703497324998,0.5341039767783465,-30478.794773007685,31,-1081.1105731663547,-976.7703497324998,0.41935483870967744,31,0.96875,False
14:00:00|p25|DIAGONAL_PREMIUM|adj09:30:00|stop1,32,-34905.58267294214,-1090.7994585294418,0.375,-1090.7994585294418,-1846.6763710874984,0.5179555133636948,-34660.842879958494,32,-1090.7994585294418,-1846.6763710874984,0.375,32,1.0,False
09:30:00|p20|DIAGONAL_PREMIUM|adj11:00:00|stop1,31,-33933.417942966415,-1094.6263852569812,0.4838709677419355,-1094.6263852569812,-196.76521695750148,0.4286577096820091,-25548.373761079594,31,-1094.6263852569812,-196.76521695750148,0.4838709677419355,31,0.96875,False
14:00:00|p30|DIAGONAL_PREMIUM|adj10:00:00|stop1.5,32,-35259.46079635618,-1101.8581498861306,0.4375,-1101.8581498861306,-1431.4585384424997,0.5763484884832778,-42619.78902199349,32,-1101.8581498861306,-1431.4585384424997,0.4375,32,1.0,False
14:00:00|p30|DIAGONAL_PREMIUM|adj09:30:00|stop1.5,32,-36216.16962324408,-1131.7553007263775,0.3125,-1131.7553007263775,-1908.3782325189995,0.5694068315223834,-36833.869809678996,32,-1131.7553007263775,-1908.3782325189995,0.3125,32,1.0,False
11:00:00|p30|DIAGONAL_PREMIUM|adj10:00:00|stop1.5,31,-35106.857254919705,-1132.4792662877323,0.41935483870967744,-1132.4792662877323,-1093.0570768049997,0.6136718693537688,-30107.043730837504,31,-1132.4792662877323,-1093.0570768049997,0.41935483870967744,31,0.96875,False
