entry_day,entry_time,expiry_choice,strike_method,trigger,action,risk,week,net_pnl,gross_pnl,cost,capital_proxy,regime,fold,stage
THU,09:20,nearest_weekly,sigma2,ninety_pct,protective_next_strike,stop_2x_credit,2026-W14,2260.491682767,2359.5,99.00831723300008,20347.60000000001,base,1,oos
THU,09:20,nearest_weekly,sigma2,ninety_pct,protective_next_strike,stop_2x_credit,2026-W15,1264.6577957905,1361.75,97.0922042095001,15113.799999999985,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,add_short,no_stop,2026-W04,30375.707703706,30537.0,161.29229629399924,27579.50000000001,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,add_short,no_stop,2026-W05,22460.349899937,22626.5,166.15010006300145,23831.43749999999,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,add_short,no_stop,2026-W06,8019.046491539998,8124.999999999998,105.9535084600002,14654.89999999999,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,add_short,no_stop,2026-W07,-41910.47455487649,-41746.24999999999,164.2245548764986,18975.12500000001,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,add_short,no_stop,2026-W08,-114192.60031169804,-113984.00000000004,208.60031169799916,19894.0625,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,add_short,no_stop,2026-W09,-70508.48500107002,-70310.50000000001,197.9850010700029,18165.062499999975,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,add_short,no_stop,2026-W10,13602.065297705,13793.0,190.93470229500053,30439.50000000001,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,add_short,no_stop,2026-W11,42045.920229327,42224.0,178.0797706730009,38969.93750000002,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,add_short,no_stop,2026-W12,54293.9978961,54489.5,195.50210389999847,51176.93749999998,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,add_short,no_stop,2026-W14,-63862.48429800751,-63638.250000000015,224.23429800749727,27410.499999999996,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,add_short,no_stop,2026-W15,12212.343035353,12330.5,118.15696464699975,22182.54999999998,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,add_short,stop_2x_credit,2026-W04,30375.707703706,30537.0,161.29229629399924,27579.50000000001,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,add_short,stop_2x_credit,2026-W05,22460.349899937,22626.5,166.15010006300145,23831.43749999999,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,add_short,stop_2x_credit,2026-W06,8019.046491539998,8124.999999999998,105.9535084600002,14654.89999999999,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,add_short,stop_2x_credit,2026-W07,-43406.1479537065,-43241.25,164.89795370650245,18975.12500000001,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,add_short,stop_2x_credit,2026-W08,-15627.507897676,-15463.5,164.00789767599963,19894.0625,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,add_short,stop_2x_credit,2026-W09,-15552.241985799,-15379.0,173.24198579900076,18165.062499999975,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,add_short,stop_2x_credit,2026-W10,-27714.2866130185,-27504.75,209.5366130184993,30439.50000000001,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,add_short,stop_2x_credit,2026-W11,42045.920229327,42224.0,178.0797706730009,38969.93750000002,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,add_short,stop_2x_credit,2026-W12,54293.9978961,54489.5,195.50210389999847,51176.93749999998,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,add_short,stop_2x_credit,2026-W14,-71129.506137975,-70902.0,227.5061379749968,27410.499999999996,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,add_short,stop_2x_credit,2026-W15,12212.343035353,12330.5,118.15696464699975,22182.54999999998,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,protective_next_strike,no_stop,2026-W04,-4024.5983780835,-3857.75,166.84837808349994,27579.50000000001,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,protective_next_strike,no_stop,2026-W05,-14759.6907103595,-14589.249999999998,170.44071035950037,23831.43749999999,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,protective_next_strike,no_stop,2026-W06,8019.046491539998,8124.999999999998,105.9535084600002,14654.89999999999,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,protective_next_strike,no_stop,2026-W07,-2081.2511906199943,-1878.4999999999943,202.75119061999976,18975.12500000001,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,protective_next_strike,no_stop,2026-W08,-7858.59466392402,-7579.00000000002,279.5946639240001,19894.0625,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,protective_next_strike,no_stop,2026-W09,-13510.935726838008,-13266.500000000007,244.43572683800085,18165.062499999975,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,protective_next_strike,no_stop,2026-W10,-17296.685199317,-17101.5,195.18519931699848,30439.50000000001,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,protective_next_strike,no_stop,2026-W11,713.8878141485,893.75,179.86218585150004,38969.93750000002,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,protective_next_strike,no_stop,2026-W12,5857.243407362,6051.5,194.25659263800023,51176.93749999998,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,protective_next_strike,no_stop,2026-W14,-13399.335868084509,-13120.250000000007,279.08586808449945,27410.499999999996,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,protective_next_strike,no_stop,2026-W15,12212.343035353,12330.5,118.15696464699975,22182.54999999998,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,protective_next_strike,stop_2x_credit,2026-W04,-4024.5983780835,-3857.75,166.84837808349994,27579.50000000001,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,protective_next_strike,stop_2x_credit,2026-W05,-25664.280242514,-25486.5,177.78024251399984,23831.43749999999,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,protective_next_strike,stop_2x_credit,2026-W06,8019.046491539998,8124.999999999998,105.9535084600002,14654.89999999999,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,protective_next_strike,stop_2x_credit,2026-W07,-2081.2511906199943,-1878.4999999999943,202.75119061999976,18975.12500000001,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,protective_next_strike,stop_2x_credit,2026-W08,-3217.3585015429985,-2885.999999999998,331.3585015429999,19894.0625,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,protective_next_strike,stop_2x_credit,2026-W09,-13409.712970203,-13104.0,305.7129702029997,18165.062499999975,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,protective_next_strike,stop_2x_credit,2026-W10,-17296.685199317,-17101.5,195.18519931699848,30439.50000000001,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,protective_next_strike,stop_2x_credit,2026-W11,713.8878141485,893.75,179.86218585150004,38969.93750000002,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,protective_next_strike,stop_2x_credit,2026-W12,5857.243407362,6051.5,194.25659263800023,51176.93749999998,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,protective_next_strike,stop_2x_credit,2026-W14,-13399.335868084509,-13120.250000000007,279.08586808449945,27410.499999999996,base,1,oos
THU,09:20,second_nearest_weekly,delta020,touch,protective_next_strike,stop_2x_credit,2026-W15,12212.343035353,12330.5,118.15696464699975,22182.54999999998,base,1,oos
THU,09:20,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,2026-W04,30375.707703706,30537.0,161.29229629399924,27579.50000000001,base,1,oos
THU,09:20,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,2026-W05,19351.254051546,19513.0,161.74594845400134,23831.43749999999,base,1,oos
THU,09:20,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,2026-W06,8019.046491539998,8124.999999999998,105.9535084600002,14654.89999999999,base,1,oos
THU,09:20,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,2026-W07,-39245.99888522199,-39077.99999999999,167.99888522199765,18975.12500000001,base,1,oos
THU,09:20,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,2026-W08,-113390.98582886651,-113181.25000000004,209.7358288664982,19894.0625,base,1,oos
THU,09:20,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,2026-W09,-70508.48500107002,-70310.50000000001,197.9850010700029,18165.062499999975,base,1,oos
THU,09:20,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,2026-W10,11512.038266067,11700.0,187.96173393299975,30439.50000000001,base,1,oos
THU,09:20,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,2026-W11,42045.920229327,42224.0,178.0797706730009,38969.93750000002,base,1,oos
