week,net_pnl,gross_pnl,transaction_costs,slippage_cost,total_friction,trading_days,positive
2022-11-28/2022-12-04,-4064.2882309299985,-3324.9999999999986,739.28823093,969.9999999999992,1709.2882309299991,5,False
2022-12-05/2022-12-11,-4286.263022214998,-3542.499999999998,743.763022215,939.9999999999983,1683.7630222149983,5,False
2022-12-12/2022-12-18,1006.5327507949994,1757.4999999999993,750.967249205,980.0000000000001,1730.9672492050001,5,True
2022-12-19/2022-12-25,3188.4373527899997,3959.9999999999986,771.56264721,954.9999999999991,1726.562647209999,5,True
2022-12-26/2023-01-01,-4098.28063089,-3339.9999999999995,758.28063089,975.0,1733.2806308899999,5,False
2023-01-02/2023-01-08,506.74404685500065,1262.500000000001,755.755953145,939.9999999999986,1695.7559531449986,5,True
2023-01-09/2023-01-15,-3054.0437426149997,-2297.4999999999995,756.5437426149999,944.9999999999989,1701.5437426149988,5,False
2023-01-16/2023-01-22,-4261.786390915,-3517.4999999999995,744.286390915,939.9999999999993,1684.2863909149994,5,False
2023-01-23/2023-01-29,-6986.330504485,-6367.500000000001,618.830504485,755.0000000000027,1373.8305044850028,4,False
2023-01-30/2023-02-05,-13441.734078835003,-12622.500000000004,819.234078835,965.0000000000019,1784.234078835002,5,False
2023-02-06/2023-02-12,-6864.861667024998,-6117.499999999997,747.361667025,939.9999999999987,1687.3616670249987,5,False
2023-02-13/2023-02-19,349.0080399250021,1092.500000000002,743.491960075,944.9999999999986,1688.4919600749986,5,True
2023-02-20/2023-02-26,-1170.7367880049997,-422.5,748.236788005,959.9999999999993,1708.2367880049994,5,False
2023-02-27/2023-03-05,-2660.7132831299987,-1919.9999999999986,740.71328313,934.999999999999,1675.713283129999,5,False
2023-03-06/2023-03-12,-4242.953980729999,-3654.999999999999,587.95398073,759.9999999999992,1347.9539807299993,4,False
2023-03-13/2023-03-19,10335.499443625,11127.5,792.0005563750001,940.000000000001,1732.000556375001,5,True
2023-03-20/2023-03-26,-7011.629824719998,-6254.999999999998,756.62982472,939.9999999999986,1696.6298247199986,5,False
2023-03-27/2023-04-02,-3720.707722439999,-3124.999999999999,595.70772244,749.9999999999989,1345.7077224399989,4,False
2023-04-03/2023-04-09,-3832.2039962850004,-3397.5,434.703996285,540.0,974.7039962850001,3,False
2023-04-10/2023-04-16,-3483.7534907450004,-2907.5,576.253490745,740.0000000000002,1316.2534907450001,4,False
2023-04-17/2023-04-23,-5502.89533993,-4775.0,727.89533993,929.9999999999997,1657.8953399299996,5,False
2023-04-24/2023-04-30,-1406.0650129849992,-677.4999999999991,728.565012985,944.9999999999994,1673.5650129849994,5,False
2023-05-01/2023-05-07,-2061.36343858,-1480.0,581.36343858,750.0,1331.36343858,4,False
2023-05-08/2023-05-14,-3874.1639350649994,-3142.499999999999,731.663935065,934.9999999999995,1666.6639350649994,5,False
2023-05-15/2023-05-21,-3640.105195324999,-2907.499999999999,732.6051953250001,959.9999999999993,1692.6051953249994,5,False
2023-05-22/2023-05-28,-694.6273107499997,40.000000000000455,734.62731075,940.0000000000006,1674.6273107500006,5,False
2023-05-29/2023-06-04,-5299.5331436999995,-4570.0,729.5331437,939.9999999999993,1669.5331436999995,5,False
2023-06-05/2023-06-11,-3935.6566177799996,-3210.0,725.65661778,949.9999999999999,1675.65661778,5,False
2023-06-12/2023-06-18,-2646.6401383699995,-1919.9999999999995,726.6401383699999,944.9999999999998,1671.64013837,5,False
2023-06-19/2023-06-25,-3342.3487891199993,-2614.999999999999,727.34878912,934.9999999999992,1662.3487891199993,5,False
2023-06-26/2023-07-02,-3240.111913884999,-2657.499999999999,582.611913885,739.9999999999997,1322.6119138849997,4,False
2023-07-03/2023-07-09,-3708.6517113500013,-2970.000000000002,738.65171135,935.0,1673.65171135,5,False
2023-07-10/2023-07-16,-4718.810546979999,-3989.9999999999995,728.81054698,939.9999999999993,1668.8105469799993,5,False
2023-07-17/2023-07-23,-2562.4847389499982,-1814.9999999999982,747.48473895,974.9999999999986,1722.4847389499987,5,False
2023-07-24/2023-07-30,-6321.443277259999,-5579.999999999999,741.4432772600001,964.9999999999985,1706.4432772599985,5,False
2023-07-31/2023-08-06,-2730.8659048050004,-1992.5,738.365904805,954.9999999999997,1693.3659048049997,5,False
2023-08-07/2023-08-13,-3764.3421072799993,-3029.999999999999,734.3421072799999,944.9999999999993,1679.3421072799993,5,False
2023-08-14/2023-08-20,-1581.0132852049996,-992.4999999999995,588.5132852050001,729.9999999999994,1318.5132852049994,4,False
2023-08-21/2023-08-27,-3513.604203204999,-2782.499999999999,731.104203205,944.9999999999992,1676.1042032049993,5,False
2023-08-28/2023-09-03,-1793.80565521,-1060.0,733.8056552099999,944.9999999999995,1678.8056552099995,5,False
